id,question,A,B,C,Answerkey
51,Where were you yesterday?,I was at the bakery.,I am at the bakery.,I will be at the bakery.,A
52,Was she at the clinic last night?,"Yes, she was at the clinic.","Yes, she is at the clinic.","Yes, she will be at the clinic.",A
53,Where was he last weekend?,He was at the amusement park.,He were at the amusement park.,He is at the amusement park.,A
54,Were they at the tea shop yesterday morning?,"Yes, they were at the tea shop.","Yes, they was at the tea shop.","Yes, they are at the tea shop.",A
55,Was the ball behind the TV?,"Yes, it was behind the TV.","Yes, it is behind the TV.","Yes, it were behind the TV.",A
56,Who was at the police station yesterday?,Gary was at the police station.,Gary is at the police station.,Gary will be at the police station.,A
57,Were you at the night market last night?,"No, I was at home.","No, I am at home.","No, I were at home.",A
58,What was on the plate?,There was a piece of cake on the plate.,There is a piece of cake on the plate.,There were a piece of cake on the plate.,A
59,When was your birthday?,It was on April 10th.,It is on April 10th.,It will be on April 10th.,A
60,Where were the boys last weekend?,They were at the riverside park.,They was at the riverside park.,They are at the riverside park.,A
61,What will she do tomorrow?,She will go camping.,She went camping.,She goes camping.,A
62,What did he do yesterday?,He took a walk.,He takes a walk.,He will take a walk.,A
63,What do you do every morning?,I drink a glass of juice.,I drank a glass of juice.,I will drink a glass of juice.,A
64,Where will they go next weekend?,They will go to Yilan.,They went to Yilan.,They go to Yilan.,A
65,Where did you go last night?,I went to the night market.,I will go to the night market.,I go to the night market.,A
66,What would you like to eat now?,I'd like a bowl of soup.,I liked a bowl of soup.,I will like a bowl of soup.,A
67,Will you take pictures tomorrow?,"Yes, I will take pictures.","Yes, I took pictures.","Yes, I take pictures.",A
68,Did you see a movie last weekend?,"Yes, I saw a movie.","Yes, I will see a movie.","Yes, I see a movie.",A
69,How does the mochi taste today?,It tastes sweet.,It tasted sweet.,It will taste sweet.,A
70,What did she buy yesterday?,She bought souvenirs.,She will buy souvenirs.,She buys souvenirs.,A
71,What will he drink tonight?,He will drink a bottle of milk.,He drank a bottle of milk.,He drinks a bottle of milk.,A
72,Did they swim yesterday morning?,"Yes, they swam.","Yes, they swim.","Yes, they will swim.",A
73,Where is the tea shop now?,It is next to the clinic.,It was next to the clinic.,It will be next to the clinic.,A
74,What did he eat last night?,He ate a tea egg.,He eats a tea egg.,He will eat a tea egg.,A
75,Will we enjoy the hot spring in Yilan?,"Yes, we will enjoy the hot spring.","Yes, we enjoy the hot spring.","Yes, we enjoyed the hot spring.",A
76,What would you like to eat?,I'd like a plate of noodles.,I'd like a noodles.,I like a plate of noodles.,A
77,Is the bus stop in front of the bakery?,"No, it's behind the bakery.","No, it behinds the bakery.","No, it's behind of the bakery.",A
78,How do the tea eggs taste?,They taste salty.,They tastes salty.,It tastes salty.,A
79,What would she like to drink?,She'd like two glasses of juice.,She'd like two glass of juice.,She'd like two glasses juice.,A
80,Where is the clinic?,It is between the bakery and the tea shop.,It is between the bakery to the tea shop.,It is between the bakery with the tea shop.,A
81,Did you fly a kite yesterday?,"No, I rode a bike.","No, I ride a bike.","No, I rided a bike.",A
82,What did they do at the department store?,They went shopping.,They go shopping.,They went to shopping.,A
83,How does the bitter gourd taste?,It tastes bitter.,It taste bitter.,They tastes bitter.,A
84,What did Gary do yesterday?,He got a haircut.,He get a haircut.,He gotten a haircut.,A
85,What would you like?,I'd like a cup of tea.,I like a cup of tea.,I'd like cup of tea.,A
86,What's the date today?,It's September 2nd.,It's on September 2nd.,It's September of 2nd.,A
87,When is her birthday?,It's on July 4th.,It's July 4th.,It's at July 4th.,A
88,Is the police station across from the clinic?,"Yes, it is across from the clinic.","Yes, it is across the clinic.","Yes, it across from the clinic.",A
89,What did she do yesterday afternoon?,She drew a picture.,She draw a picture.,She drawed a picture.,A
90,What would they like to eat?,They'd like a box of cookies.,They like a box of cookies.,They'd like a box cookies.,A
91,Were you at the amusement park last weekend?,"Yes, I was there.","Yes, I am there.","Yes, I were there.",A
92,What will they do tomorrow?,They will stay home and eat snacks.,They stayed home and ate snacks.,They stay home and eat snacks.,A
93,Where was the mochi yesterday?,It was on the plate.,It is on the plate.,It will be on the plate.,A
94,Did they go camping last weekend?,"Yes, they went camping.","Yes, they will go camping.","Yes, they go camping.",A
95,Was he at the riverside park yesterday?,"No, he was at the department store.","No, he is at the department store.","No, he will be at the department store.",A
96,How did the barbecue taste last night?,It tasted spicy.,It tastes spicy.,It will taste spicy.,A
97,What will you send from Yilan?,I will send a postcard.,I sent a postcard.,I send a postcard.,A
98,Where were they yesterday?,They were at the clinic.,They was at the clinic.,They are at the clinic.,A
99,What did she write yesterday?,She wrote a letter.,She writes a letter.,She will write a letter.,A
100,Will you buy souvenirs in Yilan?,"Yes, I will buy souvenirs.","Yes, I bought souvenirs.","Yes, I buy souvenirs.",A
