id,question,A,B,C,Answerkey
1,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. Who went to the swimming pool?","Mark, his sister and father",Mark and his mother,Mark's uncle,A
2,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. When did Mark go to the swimming pool?",Yesterday,Today,Tomorrow,A
3,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. Where did Mark go yesterday?",The swimming pool,The library,The hospital,A
4,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. Who is Cathy?",Mark's sister,Mark's mother,Mark's friend,A
5,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. What can Mark do?",He can swim.,He cannot swim.,He can only dive.,A
6,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. Can Cathy swim?","No, she cannot.","Yes, she can.",She doesn't like water.,A
7,"Mark went to the swimming pool yesterday. He went with his father and his sister, Cathy. He can swim but his sister cannot. Question. Who did Mark go to the pool with?",His father and sister,His brother,His grandparents,A
8,Donna was not happy yesterday afternoon. She hurt her arm on the slide at the park. The nurse took an X-ray. Question. How did Donna feel yesterday afternoon?,She was not happy.,She was very happy.,She was excited.,A
9,Donna was not happy yesterday afternoon. She hurt her arm on the slide at the park. The nurse took an X-ray. Question. When was Donna not happy?,Yesterday afternoon,Yesterday morning,Today,A
10,Donna was not happy yesterday afternoon. She hurt her arm on the slide at the park. The nurse took an X-ray. Question. What did Donna hurt?,Her arm,Her leg,Her head,A
11,Donna was not happy yesterday afternoon. She hurt her arm on the slide at the park. The nurse took an X-ray. Question. Where did she hurt her arm?,On the slide at the park,At the swimming pool,At the train station,A
12,Donna was not happy yesterday afternoon. She hurt her arm on the slide at the park. The nurse took an X-ray. Question. Who took an X-ray?,The nurse,The doctor,The lifeguard,A
