id,question,A,B,C,Answerkey
1,"Which word has the sound of ""ar""?",mart,cord,bird,A
2,"Which word has the sound of ""ar""?",farm,form,firm,A
3,"Which word has the sound of ""ar""?",park,pork,perk,A
4,"Which word has the sound of ""ar""?",star,store,stir,A
5,"Which word has the sound of ""ar""?",part,port,pert,A
6,"Which word has the sound of ""ar""?",dark,dork,dirk,A
7,"Which word has the sound of ""ar""?",smart,smote,smite,A
8,"Which word has the sound of ""ar""?",car,core,care,A
9,"Which word has the sound of ""ar""?",chart,chore,choir,A
10,"Which word has the sound of ""ar""?",yard,yord,your,A
11,"Which word has the sound of ""or""?",cord,mart,bird,A
12,"Which word has the sound of ""or""?",store,work,walk,A
13,"Which word has the sound of ""or""?",horse,house,hose,A
14,"Which word has the sound of ""or""?",fork,frog,flock,A
15,"Which word has the sound of ""or""?",roar,rear,real,A
16,"Which word has the sound of ""or""?",board,broad,boat,A
17,"Which word has the sound of ""or""?",door,dear,dare,A
18,"Which word has the sound of ""or""?",born,burn,barn,A
19,"Which word has the sound of ""or""?",core,care,car,A
20,"Which word has the sound of ""or""?",more,mare,mere,A
21,"Which word has the sound of ""or""?",floor,flour,flaw,A
22,"Which word has the sound of ""or""?",sport,spot,spit,A
23,"Which word has the sound of ""or""?",short,shirt,shut,A
24,"Which word has the sound of ""or""?",storm,stem,steam,A
25,"Which word has the sound of ""or""?",tore,tear,tire,A
26,Which word rhymes with doctor?,daughter,bird,fart,A
27,Which word rhymes with tractor?,regular,worm,lurk,A
28,Which word rhymes with actor?,factor,fact,face,A
29,Which word rhymes with sister?,mister,miss,master,A
30,Which word rhymes with teacher?,preacher,peach,teach,A
31,Which word rhymes with grammar?,hammer,ham,him,A
32,Which word rhymes with letter?,better,bet,bit,A
33,Which word rhymes with paper?,vapor,tape,pipe,A
34,Which word rhymes with visitor?,monitor,money,mint,A
35,Which word rhymes with sailor?,tailor,tail,tall,A
36,"Which word has the sound of ""er""?",nurse,horse,card,A
37,"Which word has the sound of ""er""?",bird,beard,bread,A
38,"Which word has the sound of ""er""?",girl,grill,gall,A
39,"Which word has the sound of ""er""?",purple,people,pupil,A
40,"Which word has the sound of ""er""?",term,team,tame,A
41,"Which word has the sound of ""er""?",shirt,short,shut,A
42,"Which word has the sound of ""er""?",turn,torn,ten,A
43,"Which word has the sound of ""er""?",burn,born,bin,A
44,"Which word has the sound of ""er""?",third,thread,thud,A
45,"Which word has the sound of ""er""?",skirt,skate,skit,A
46,"Which word has the sound of ""er""?",curl,call,coal,A
47,"Which word has the sound of ""er""?",hurt,heart,hat,A
48,"Which word has the sound of ""er""?",surf,safe,sofa,A
49,"Which word has the sound of ""er""?",her,hair,hare,A
50,"Which word has the sound of ""er""?",dirt,dart,dot,A
